disorder_cui|name|definition
C0014358|Enterocolitis, Pseudomembranous|An acute inflammation of the INTESTINAL MUCOSA that is characterized by the presence of pseudomembranes or plaques in the SMALL INTESTINE (pseudomembranous enteritis) and the LARGE INTESTINE (pseudomembranous colitis). It is commonly associated with antibiotic therapy and CLOSTRIDIUM DIFFICILE colonization.
C0004623|Bacterial Infections|Infections by bacteria, general or unspecified.
C0010481|Cushing Syndrome|A condition caused by prolonged exposure to excess levels of cortisol (HYDROCORTISONE) or other GLUCOCORTICOIDS from endogenous or exogenous sources. It is characterized by upper body OBESITY; OSTEOPOROSIS; HYPERTENSION; DIABETES MELLITUS; HIRSUTISM; AMENORRHEA; and excess body fluid. Endogenous Cushing syndrome or spontaneous hypercortisolism is divided into two groups, those due to an excess of ADRENOCORTICOTROPIN and those that are ACTH-independent.
C0003873|Rheumatoid Arthritis|A chronic systemic disease, primarily of the joints, marked by inflammatory changes in the synovial membranes and articular structures, widespread fibrinoid degeneration of the collagen fibers in mesenchymal tissues, and by atrophy and rarefaction of bony structures. Etiology is unknown, but autoimmune mechanisms have been implicated.
C0008677|Bronchitis, Chronic|A subcategory of CHRONIC OBSTRUCTIVE PULMONARY DISEASE. The disease is characterized by hypersecretion of mucus accompanied by a chronic (more than 3 months in 2 consecutive years) productive cough. Infectious agents are a major cause of chronic bronchitis.
C0034067|Pulmonary Emphysema|Enlargement of air spaces distal to the TERMINAL BRONCHIOLES where gas-exchange normally takes place. This is usually due to destruction of the alveolar wall. Pulmonary emphysema can be classified by the location and distribution of the lesions.
C0010674|Cystic Fibrosis|An autosomal recessive genetic disease of the EXOCRINE GLANDS. It is caused by mutations in the gene encoding the CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR expressed in several organs including the LUNG, the PANCREAS, the BILIARY SYSTEM, and the SWEAT GLANDS. Cystic fibrosis is characterized by epithelial secretory dysfunction associated with ductal obstruction resulting in AIRWAY OBSTRUCTION; chronic RESPIRATORY INFECTIONS; PANCREATIC INSUFFICIENCY; maldigestion; salt depletion; and HEAT PROSTRATION.
C0005283|beta Thalassemia|A disorder characterized by reduced synthesis of the beta chains of hemoglobin. There is retardation of hemoglobin A synthesis in the heterozygous form (thalassemia minor), which is asymptomatic, while in the homozygous form (thalassemia major, Cooley's anemia, Mediterranean anemia, erythroblastic anemia), which can result in severe complications and even death, hemoglobin A synthesis is absent.
C0002895|Anemia, Sickle Cell|A disease characterized by chronic hemolytic anemia, episodic painful crises, and pathologic involvement of many organs. It is the clinical expression of homozygosity for hemoglobin S.
C0027022|Myeloproliferative disease|Conditions which cause proliferation of hemopoietically active tissue or of tissue which has embryonic hemopoietic potential. They all involve dysregulation of multipotent MYELOID PROGENITOR CELLS, most often caused by a mutation in the JAK2 PROTEIN TYROSINE KINASE.
C0020542|Pulmonary Hypertension|Increased VASCULAR RESISTANCE in the PULMONARY CIRCULATION, usually secondary to HEART DISEASES or LUNG DISEASES.
C0019829|Hodgkin Disease|A malignant disease characterized by progressive enlargement of the lymph nodes, spleen, and general lymphoid tissue. In the classical variant, giant usually multinucleate Hodgkin's and REED-STERNBERG CELLS are present; in the nodular lymphocyte predominant variant, lymphocytic and histiocytic cells are seen.
C0079746|Immunoblastic Large-Cell Lymphoma|Malignant lymphoma characterized by the presence of immunoblasts with uniformly round-to-oval nuclei, one or more prominent nucleoli, and abundant cytoplasm. This class may be subdivided into plasmacytoid and clear-cell types based on cytoplasmic characteristics. A third category, pleomorphous, may be analogous to some of the peripheral T-cell lymphomas (LYMPHOMA, T-CELL, PERIPHERAL) recorded in both the United States and Japan.
C0018133|Graft-vs-Host Disease|The clinical entity characterized by anorexia, diarrhea, loss of hair, leukopenia, thrombocytopenia, growth retardation, and eventual death brought about by the GRAFT VS HOST REACTION.
C0010346|Crohn Disease|A chronic transmural inflammation that may involve any part of the DIGESTIVE TRACT from MOUTH to ANUS, mostly found in the ILEUM, the CECUM, and the COLON. In Crohn disease, the inflammation, extending through the intestinal wall from the MUCOSA to the serosa, is characteristically asymmetric and segmental. Epithelioid GRANULOMAS may be seen in some patients.
C0009324|Ulcerative Colitis|Inflammation of the COLON that is predominantly confined to the MUCOSA. Its major symptoms include DIARRHEA, rectal BLEEDING, the passage of MUCUS, and ABDOMINAL PAIN.
C0003872|Arthritis, Psoriatic|A type of inflammatory arthritis associated with PSORIASIS, often involving the axial joints and the peripheral terminal interphalangeal joints. It is characterized by the presence of HLA-B27-associated SPONDYLARTHROPATHY, and the absence of rheumatoid factor.
C0038013|Ankylosing spondylitis|A chronic inflammatory condition affecting the axial joints, such as the SACROILIAC JOINT and other intervertebral or costovertebral joints. It occurs predominantly in young males and is characterized by pain and stiffness of joints (ANKYLOSIS) with inflammation at tendon insertions.
C0007131|Non-Small Cell Lung Carcinoma|A heterogeneous aggregate of at least three distinct histological types of lung cancer, including SQUAMOUS CELL CARCINOMA; ADENOCARCINOMA; and LARGE CELL CARCINOMA. They are dealt with collectively because of their shared treatment strategy.
C0025202|melanoma|A malignant neoplasm derived from cells that are capable of forming melanin, which may occur in the skin of any part of the body, in the eye, or, rarely, in the mucous membranes of the genitalia, anus, oral cavity, or other sites. It occurs mostly in adults and may originate de novo or from a pigmented nevus or malignant lentigo. Melanomas frequently metastasize widely, and the regional lymph nodes, liver, lungs, and brain are likely to be involved. The incidence of malignant skin melanomas is rising rapidly in all parts of the world. (Stedman, 25th ed; from Rook et al., Textbook of Dermatology, 4th ed, p2445)
C0026764|Multiple Myeloma|A malignancy of mature PLASMA CELLS engaging in monoclonal immunoglobulin production. It is characterized by hyperglobulinemia, excess Bence-Jones proteins (free monoclonal IMMUNOGLOBULIN LIGHT CHAINS) in the urine, skeletal destruction, bone pain, and fractures. Other features include ANEMIA; HYPERCALCEMIA; and RENAL INSUFFICIENCY.
C0014335|Enteritis|Inflammation of any segment of the SMALL INTESTINE.
C0017531|Angiolymphoid hyperplasia|Large benign, hyperplastic lymph nodes. The more common hyaline vascular subtype is characterized by small hyaline vascular follicles and interfollicular capillary proliferations. Plasma cells are often present and represent another subtype with the plasma cells containing IgM and IMMUNOGLOBULIN A.
C0026707|Mucopolysaccharidosis IV|Genetic disorder of mucopolysaccharide metabolism characterized by skeletal abnormalities, joint instability, development of cervical myelopathy, and excessive urinary keratan sulfate. There are two biochemically distinct forms, each due to a deficiency of a different enzyme.
C0020456|Hyperglycemia|Abnormally high BLOOD GLUCOSE level.
C0011854|Diabetes Mellitus, Insulin-Dependent|A subtype of DIABETES MELLITUS that is characterized by INSULIN deficiency. It is manifested by the sudden onset of severe HYPERGLYCEMIA, rapid progression to DIABETIC KETOACIDOSIS, and DEATH unless treated with insulin. The disease may occur at any age, but is most common in childhood or adolescence.
C0011860|Diabetes Mellitus, Non-Insulin-Dependent|A subclass of DIABETES MELLITUS that is not INSULIN-responsive or dependent (NIDDM). It is characterized initially by INSULIN RESISTANCE and HYPERINSULINEMIA; and eventually by GLUCOSE INTOLERANCE; HYPERGLYCEMIA; and overt diabetes. Type II diabetes mellitus is no longer considered a disease exclusively found in adults. Patients seldom develop KETOSIS but often exhibit OBESITY.
C0020443|Hypercholesterolemia|A condition with abnormally high levels of CHOLESTEROL in the blood. It is defined as a cholesterol value exceeding the 95th percentile for the population.
C0004153|Atherosclerosis|A thickening and loss of elasticity of the walls of ARTERIES that occurs with formation of ATHEROSCLEROTIC PLAQUES within the ARTERIAL INTIMA.
C0014836|Escherichia coli Infections|Infections with bacteria of the species ESCHERICHIA COLI.
C1112209|Abdominal Infection|Infection within the PERITONEAL CAVITY. A frequent cause is an ANASTOMOTIC LEAK following surgery.
C0038395|Streptococcal Infections|Infections with bacteria of the genus STREPTOCOCCUS.
C0042029|Urinary tract infection|Inflammatory responses of the epithelium of the URINARY TRACT to microbial invasions. They are often bacterial infections with associated BACTERIURIA and PYURIA.
C0004669|Bacteroides Infections|Infections with bacteria of the genus BACTEROIDES.
C0033700|Proteus Infections|Infections with bacteria of the genus PROTEUS.
C0033817|Pseudomonas Infections|Infections with bacteria of the genus PSEUDOMONAS.
C0022729|Klebsiella Infections|Infections with bacteria of the genus KLEBSIELLA.
C0005695|Bladder Neoplasm|Tumors or cancer of the URINARY BLADDER.
C0008533|Hemophilia B|A deficiency of blood coagulation factor IX inherited as an X-linked disorder. (Also known as Christmas Disease, after the first patient studied in detail, not the holy day.) Historical and clinical features resemble those in classic hemophilia (HEMOPHILIA A), but patients present with fewer symptoms. Severity of bleeding is usually similar in members of a single family. Many patients are asymptomatic until the hemostatic system is stressed by surgery or trauma. Treatment is similar to that for hemophilia A. (From Cecil Textbook of Medicine, 19th ed, p1008)
C0023470|Myeloid Leukemia|Form of leukemia characterized by an uncontrolled proliferation of the myeloid lineage and their precursors (MYELOID PROGENITOR CELLS) in the bone marrow and other sites.
C0019080|Hemorrhage|Bleeding or escape of blood from a vessel.
C0014394|Enuresis|Involuntary discharge of URINE after expected age of completed development of urinary control. This can happen during the daytime (DIURNAL ENURESIS) while one is awake or during sleep (NOCTURNAL ENURESIS). Enuresis can be in children or in adults (as persistent primary enuresis and secondary adult-onset enuresis).
C0687720|Central Diabetes Insipidus|A genetic or acquired polyuric disorder caused by a deficiency of VASOPRESSINS secreted by the NEUROHYPOPHYSIS. Clinical signs include the excretion of large volumes of dilute URINE; HYPERNATREMIA; THIRST; and polydipsia. Etiologies include HEAD TRAUMA; surgeries and diseases involving the HYPOTHALAMUS and the PITUITARY GLAND. This disorder may also be caused by mutations of genes such as ARVP encoding vasopressin and its corresponding neurophysin (NEUROPHYSINS).
C0042974|von Willebrand Disease|Group of hemorrhagic disorders in which the VON WILLEBRAND FACTOR is either quantitatively or qualitatively abnormal. They are usually inherited as an autosomal dominant trait though rare kindreds are autosomal recessive. Symptoms vary depending on severity and disease type but may include prolonged bleeding time, deficiency of factor VIII, and impaired platelet adhesion.
C0040034|Thrombocytopenia|A subnormal level of BLOOD PLATELETS.
C0029458|Osteoporosis, Postmenopausal|Metabolic disorder associated with fractures of the femoral neck, vertebrae, and distal forearm. It occurs commonly in women within 15-20 years after menopause, and is caused by factors associated with menopause including estrogen deficiency.
C0030186|Paget Disease Extramammary|A rare cutaneous neoplasm that occurs in the elderly. It develops more frequently in women and predominantly involves apocrine gland-bearing areas, especially the vulva, scrotum, and perianal areas. The lesions develop as erythematous scaly patches that progress to crusted, pruritic, erythematous plaques. The clinical differential diagnosis includes squamous cell carcinoma in situ and superficial fungal infection. It is generally thought to be an adenocarcinoma of the epidermis, from which it extends into the contiguous epithelium of hair follicles and eccrine sweat ducts. (DeVita Jr et al., Cancer: Principles & Practice of Oncology, 3d ed, p1478)
C0009404|Colorectal Neoplasms|Tumors or cancer of the COLON or the RECTUM or both. Risk factors for colorectal cancer include chronic ULCERATIVE COLITIS; FAMILIAL POLYPOSIS COLI; exposure to ASBESTOS; and irradiation of the CERVIX UTERI.
C1458155|Mammary Neoplasms|Tumors or cancer of the human BREAST.
C0920269|Microsatellite Instability|The occurrence of highly polymorphic mono- and dinucleotide MICROSATELLITE REPEATS in somatic cells. It is a form of genome instability associated with defects in DNA MISMATCH REPAIR.
C0007137|Squamous cell carcinoma|A carcinoma derived from stratified SQUAMOUS EPITHELIAL CELLS. It may also occur in sites where glandular or columnar epithelium is normally present. (From Stedman, 25th ed)
C0041955|Ureteral Neoplasms|Cancer or tumors of the URETER which may cause obstruction leading to hydroureter, HYDRONEPHROSIS, and PYELONEPHRITIS. HEMATURIA is a common symptom.
C0041971|Urethral Neoplasms|Cancer or tumors of the URETHRA. Benign epithelial tumors of the urethra usually consist of squamous and transitional cells. Primary urethral carcinomas are rare and typically of squamous cells. Urethral carcinoma is the only urological malignancy that is more common in females than in males.
C0024299|Lymphoma|A general term for various neoplastic diseases of the lymphoid tissue.
C0022665|Kidney Neoplasm|Tumors or cancers of the KIDNEY.
C0919267|ovarian neoplasm|Tumors or cancer of the OVARY. These neoplasms can be benign or malignant. They are classified according to the tissue of origin, such as the surface EPITHELIUM, the stromal endocrine cells, and the totipotent GERM CELLS.
C0376358|Malignant neoplasm of prostate|undefined
C0007138|Carcinoma, Transitional Cell|A malignant neoplasm derived from TRANSITIONAL EPITHELIAL CELLS, occurring chiefly in the URINARY BLADDER; URETERS; or RENAL PELVIS.
C0019202|Hepatolenticular Degeneration|A rare autosomal recessive disease characterized by the deposition of copper in the BRAIN; LIVER; CORNEA; and other organs. It is caused by defects in the ATP7B gene encoding copper-transporting ATPase 2 (EC 3.6.3.4), also known as the Wilson disease protein. The overload of copper inevitably leads to progressive liver and neurological dysfunction such as LIVER CIRRHOSIS; TREMOR; ATAXIA and intellectual deterioration. Hepatic dysfunction may precede neurologic dysfunction by several years.
C0751850|Heavy Metal Poisoning, Nervous System|Conditions associated with damage or dysfunction of the nervous system caused by exposure to heavy metals, which may cause a variety of central, peripheral, or autonomic nervous system injuries.
C0019693|HIV Infections|Includes the spectrum of human immunodeficiency virus infections that range from asymptomatic seropositivity, thru AIDS-related complex (ARC), to acquired immunodeficiency syndrome (AIDS).
C0524909|Hepatitis B, Chronic|INFLAMMATION of the LIVER in humans caused by HEPATITIS B VIRUS lasting six months or more. It is primarily transmitted by parenteral exposure, such as transfusion of contaminated blood or blood products, but can also be transmitted via sexual or intimate personal contact.
C0011884|Diabetic Retinopathy|Disease of the RETINA as a complication of DIABETES MELLITUS. It is characterized by the progressive microvascular complications, such as ANEURYSM, interretinal EDEMA, and intraocular PATHOLOGIC NEOVASCULARIZATION.
C0271051|Macular retinal edema|Fluid accumulation in the outer layer of the MACULA LUTEA that results from intraocular or systemic insults. It may develop in a diffuse pattern where the macula appears thickened or it may acquire the characteristic petaloid appearance referred to as cystoid macular edema. Although macular edema may be associated with various underlying conditions, it is most commonly seen following intraocular surgery, venous occlusive disease, DIABETIC RETINOPATHY, and posterior segment inflammatory disease. (From Survey of Ophthalmology 2004; 49(5) 470-90)
C0036572|Seizures|Clinical or subclinical disturbances of cortical function due to a sudden, abnormal, excessive, and disorganized discharge of brain cells. Clinical manifestations include abnormal motor, sensory and psychic phenomena. Recurrent seizures are usually referred to as EPILEPSY or seizure disorder.
C0027877|Neuronal Ceroid-Lipofuscinoses|A group of severe neurodegenerative diseases characterized by intracellular accumulation of autofluorescent wax-like lipid materials (CEROID; LIPOFUSCIN) in neurons. There are several subtypes based on mutations of the various genes, time of disease onset, and severity of the neurological defects such as progressive DEMENTIA; SEIZURES; and visual failure.
C0033860|Psoriasis|A common genetically determined, chronic, inflammatory skin disease characterized by rounded erythematous, dry, scaling patches. The lesions have a predilection for nails, scalp, genitalia, extensor surfaces, and the lumbosacral region. Accelerated epidermopoiesis is considered to be the fundamental pathologic feature in psoriasis.
C0252409|anaplastic lymphoma kinase|A receptor tyrosine kinase that is essential for development and differentiation of the nervous system in response to secreted growth factors. It phosphorylates the first tyrosine of the Y-x-x-x-Y-Y motif of targets that include PROTO-ONCOGENE PROTEINS C-CBL; INSULIN RECEPTOR SUBSTRATE-1; and MITOGEN-ACTIVATED PROTEIN KINASES, leading to activation of the MAPK signaling pathway and cell proliferation. A chromosomal aberration involving the ALK gene results in its constitutive expression in some cases of NON-HODGKIN LYMPHOMA.
C0282588|Drug Resistance, Neoplasm|Resistance or diminished response of a neoplasm to an antineoplastic agent in humans, animals, or cell or tissue cultures.
C0027627|Neoplasm Metastasis|The transfer of a neoplasm from one organ or part of the body to another remote from the primary site.
C0004030|Aspergillosis|Infections with fungi of the genus ASPERGILLUS.
C0026718|Mucormycosis|Infection in humans and animals caused by any fungus in the order MUCORALES (e.g., RHIZOPUS; MUCOR; CUNNINGHAMELLA; APOPHYSOMYCES; ABSIDIA; SAKSENAEA and RHIZOMUCOR) There are many clinical types associated with infection including central nervous system, lung, gastrointestinal tract, skin, orbit and paranasal sinuses. In humans, it usually occurs as an OPPORTUNISTIC INFECTION.
C3540852|Rickets, X-Linked Hypophosphatemic|undefined
C0019163|Hepatitis B|INFLAMMATION of the LIVER in humans caused by a member of the ORTHOHEPADNAVIRUS genus, HEPATITIS B VIRUS. It is primarily transmitted by parenteral exposure, such as transfusion of contaminated blood or blood products, but can also be transmitted via sexual or intimate personal contact.
