drug_cui|name
C0541315|everolimus
C0065023|fidaxomicin
C3529078|pasireotide diaspartate
C2987431|tofacitinib citrate
C2934193|olodaterol
C0718066|sodium phenylbutyrate
C0050461|racecadotril
C2606556|macitentan
C2973446|brentuximab vedotin
C1337395|mycophenolate sodium
C3541342|radium chloride Ra-223
C0666743|infliximab
C0213771|tiotropium
C3644500|trametinib dimethyl sulfoxide
C2347624|pomalidomide
C2344297|L1 protein, human papillomavirus type 6 vaccine
C0300073|L1 protein, Human papillomavirus type 11
C0083858|L1 protein, human papillomavirus type 16 vaccine
C2344295|L1 protein, human papillomavirus type 18 vaccine
C3864832|L1 protein, human papillomavirus type 31 vaccine
C3864831|L1 protein, human papillomavirus type 33 vaccine
C3864830|L1 protein, human papillomavirus type 45 vaccine
C3501363|L1 protein, human papillomavirus type 52
C2930605|L1 protein, human papillomavirus type 58
C2742797|vedolizumab
C1609931|siltuximab
C3817397|elosulfase alfa
C1832049|elotuzumab
C4049146|cobimetinib
C3491971|insulin degludec
C0123677|insulin aspart, human
C3491162|alirocumab
C3852726|ceftolozane
C0075870|tazobactam
C4055433|atezolizumab
C4084478|albutrepenonacog alfa
C2987417|ponatinib
C2346801|daratumumab
C0011701|desmopressin
C3273711|ixazomib
C0166025|risedronate sodium
C0879427|panitumumab
C4318037|ribociclib succinate
C3658706|pembrolizumab
C3644554|dabrafenib mesylate
C1611934|saxagliptin
C3555622|dapagliflozin propanediol
C3657270|nivolumab
C2316164|olaparib
C4329353|apalutamide
C4055109|durvalumab
C2930696|tofacitinib
C0770325|trientine hydrochloride
C4507568|bictegravir
C0909839|emtricitabine
C3713958|tenofovir alafenamide
C1134659|aflibercept
C1699861|brivaracetam
C4475875|cerliponase alfa
C4505511|risankizumab
C4080091|lorlatinib
C4524315|larotrectinib
C3885068|semaglutide
C4542165|erenumab
C1832021|isavuconazole
C4726799|talazoparib tosylate
C4301607|burosumab
C3253985|dolutegravir
C0209738|lamivudine
C0024472|magnesium chloride
C0032825|potassium chloride
C0017734|dextrose monohydrate
C0037494|sodium chloride
C0074722|sodium bicarbonate
C0006686|calcium chloride
C0064582|lactic acid
C0138038|monobasic potassium phosphate
C4078806|polatuzumab vedotin
C4549503|fremanezumab
C4086264|entrectinib
C1566537|ranibizumab
C4550124|brolucizumab
C4547776|darolutamide
C2976303|sofosbuvir
C4079582|velpatasvir
C4507236|voxilaprevir
C4542175|ropeginterferon alfa-2b
C1608841|ustekinumab
C4519323|erdafitinib
C4055478|alpelisib
C2713008|neratinib
C0596005|atropine sulfate
C0724635|sodium phosphate,monobasic,monohydrate
C1165377|sodium phosphate, monobasic, anhydrous
C4726732|satralizumab
C3896714|patisiran
C1530889|teduglutide
C5140028|onasemnogene abeparvovec
C5139676|risdiplam
C0717758|etanercept
C4310578|roxadustat
C0066282|methyl salicylate
C0025368|menthol
C3272344|lutetium Lu 177 dotatate
C4743552|avapritinib
C0087163|levocarnitine
C2001867|ferric carboxymaltose
C0003968|ascorbic acid
C0035527|riboflavin
C0061632|glycol salicylate
C0068942|nonivamide
C0068724|nicotinic acid benzyl ester
C0017986|glycyrrhetinic acid
C4078312|acalabrutinib
C4726677|remdesivir
C0993233|simethicone emulsion
C4519220|fostemsavir
C2723788|Berinert
C0066677|modafinil
C0012522|diphenhydramine
C0006809|camphor
C0969677|alpha tocopherol
C0037548|riboflavin 5'-phosphate sodium
C0700496|pyridoxine hydrochloride
C0028027|niacinamide
C0010654|cysteine
C4528198|capmatinib hydrochloride
C0000970|acetaminophen
C0028426|noscapine
C0546857|chlorpheniramine maleate
C0007907|cetylpyridinium chloride
C0163042|dipotassium glycyrrhizinate
C1101751|rosuvastatin calcium
C1142985|ezetimibe
C1832027|ofatumumab
C0032479|polyethylene glycol 4000
C5139749|ripretinib
C0021246|indomethacin
C4287804|pexidartinib
C3818973|esketamine hydrochloride
C4726929|upadacitinib
C4287799|tepotinib
C0074769|sodium sulfate
C0024480|magnesium sulfate
C0071780|potassium sulfate
C3640939|tisagenlecleucel
C0078373|tocopherol acetate
C1095803|Capsicum extract
C4541993|voretigene neparvovec
C4683810|zanubrutinib
C0907402|insulin glargine
C5446297|amivantamab
C5416833|SARS-COV-2 (COVID-19) vaccine, vector - Ad26
C4482908|lefamulin
C5207169|lefamulin acetate
C0303458|99 molybdenum
C1505020|duloxetine hydrochloride
C2987007|selumetinib sulfate
C0010592|cyclosporine
C0796392|bevacizumab
C1570906|vildagliptin
C0070476|pertussis toxoid
C0012551|diphtheria toxoid vaccine, inactivated
C0305062|tetanus toxoid vaccine, inactivated
C0731203|Merieux inactivated polio
C1509509|Filamentous haemagglutinin adsorbed
C1437492|OMPA outer membrane proteins
C2725004|Bordetella pertussis pertactin vaccine, inactivated
C1700874|axitinib
C0060926|gabapentin
C0126791|magnesium stearate
C0770893|metformin hydrochloride
C0008838|cisplatin
C3885614|brexpiprazole
C4530770|Metformin HCl-Pioglitazone HCl
C0078847|zopiclone
C0169964|somatropin
C5390932|influenza A virus A/Guangdong-Maonan/SWL1536/2019 (H1N1) antigen / influenza A virus A/Hong Kong/2671/2019 (H3N2) antigen / influenza B virus B/Phuket/3073/2013 antigen / influenza B virus B/Washington/02/2019 antigen
C0028833|octreotide
C5196216|influenza A virus A/Idaho/07/2018 (H1N1) antigen / influenza A virus A/Indiana/08/2018 (H3N2) antigen / influenza B virus B/Iowa/06/2017 antigen / influenza B virus B/Singapore/INFTT-16-0610/2016 antigen
C3539953|dolutegravir sodium
C4058810|osimertinib mesylate
C0030899|pentoxifylline
C2826354|ixazomib citrate
C0216784|valsartan
C5421386|Nintedanib Ethanesulfonate
C3892871|avibactam sodium
C0770649|ceftazidime pentahydrate
C4287815|brigatinib
C0304411|biperiden hydrochloride
C0754517|moxifloxacin hydrochloride
C0772326|clopidogrel bisulfate
C3852841|abemaciclib
C2001856|carfilzomib
C1718383|teriflunomide
C5190808|Dapagliflozin propanediol monohydrate
C0526371|midostaurin
C4741394|Cyred EQ
C0020261|hydrochlorothiazide
C0288171|irbesartan
C0036773|Serum Albumin
C0304925|albumin human, USP
C0028333|norepinephrine bitartrate
C0076195|testosterone undecanoate
C5187837|influenza A virus A/Brisbane/02/2018 (H1N1) antigen / influenza A virus A/Kansas/14/2017 (H3N2) antigen / influenza B virus B/Maryland/15/2016 antigen / influenza B virus B/Phuket/3073/2013 antigen
C1099776|tenofovir disoproxil fumarate
C0042291|valproic acid
C0037567|sodium valproate
C0700473|fluvoxamine maleate
C0286650|atorvastatin calcium
C0354468|amlodipine besylate
C0014708|ergoloid mesylates, USP
C0016377|flurbiprofen
C2587184|fibrinogen, human
C2979805|factor XIII, human
C0003641|aprotinin
C2369149|thrombin, human
C0724543|calcium chloride dihydrate
C3530515|bedaquiline fumarate
C0386393|olmesartan medoxomil
C0001898|alanine
C0003765|arginine
C0019602|histidine
C0022192|isoleucine
C0023401|leucine
C0289884|glatiramer acetate
