PostingID,drug_cui
1,C0005088
1,C0036079
10,C0005088
10,C0055881
101,C1703334
102,C1703334
103,C1703334
104,C1703334
105,C0530684
11,C0005088
11,C0055881
110,C0244821
111,C0244821
112,C0244821
113,C0244821
114,C0289313
115,C0289313
116,C0289313
117,C0289313
118,C0289313
119,C0289313
12,C0065767
121,C0027396
121,C0075632
122,C0027396
122,C0075632
123,C0027396
123,C0075632
124,C0288792
125,C0288792
1276,C0754659
1277,C1948374
1278,C0073992
1278,C0117996
1279,C0073992
1279,C0117996
1280,C0070122
1281,C0530684
1282,C0289313
13,C0054836
1306,C0117996
1372,C0663655
1373,C0663655
1374,C0663655
1375,C0663655
1376,C0209738
1376,C0663655
1377,C0209738
1377,C0663655
1378,C0209738
1378,C0663655
1379,C0043474
1379,C0209738
1379,C0663655
1380,C0043474
1380,C0209738
1380,C0663655
1381,C0043474
1381,C0209738
1381,C0663655
1382,C3253985
1383,C3253985
1384,C3253985
1385,C3253985
1386,C3253985
1387,C3253985
1388,C3253985
1389,C1176315
1390,C1176315
1391,C1176315
1392,C1176315
1393,C1176315
1394,C1176315
1395,C1176315
1396,C1176315
1397,C1176315
1398,C0209738
1399,C0209738
14,C0054836
1400,C1667052
1401,C1667052
1402,C1667052
1403,C1667052
1404,C1667052
1405,C1667052
1406,C1667052
141,C0062086
141,C0062527
141,C0305062
1416,C1723401
1417,C1723401
142,C0062086
142,C0062527
142,C0305062
1426,C0305062
1426,C0718003
1427,C0754659
1429,C0754659
1430,C0754659
1433,C0754659
1434,C0754659
1435,C0754659
1436,C0754659
1437,C0754659
1438,C0754659
1439,C0754659
1442,C0117996
1443,C0117996
1444,C0117996
1445,C0117996
1446,C0117996
1447,C0117996
1448,C0117996
14488,C1723401
1449,C0117996
14491,C0073992
14491,C0117996
14496,C0903411
1450,C0117996
1452,C0117996
14526,C0305062
14526,C0718003
1453,C0117996
14530,C4519188
14532,C1723401
14535,C0969324
14536,C0969324
14537,C1948374
14537,C2935023
14539,C2935023
14539,C3709474
1454,C0117996
14540,C2935023
14540,C3709474
14543,C1948374
14543,C2935023
14544,C3709474
14545,C0082607
14546,C0085208
14548,C1948374
14548,C2935023
14548,C3709474
1455,C0117996
14559,C0754659
1456,C0117996
14560,C0754659
14567,C0246421
14569,C0541315
1457,C0117996
14570,C0541315
1458,C0117996
14587,C1509436
1459,C0117996
1460,C0117996
1461,C0117996
1462,C0117996
1463,C0117996
1464,C0117996
1465,C0117996
1466,C0117996
1467,C0117996
1468,C0117996
1469,C0117996
1470,C0117996
1471,C0117996
1472,C0117996
1473,C0073992
1473,C0117996
1474,C0073992
1474,C0117996
1475,C0073992
1475,C0117996
1476,C0073992
1476,C0117996
1477,C0073992
1477,C0117996
1478,C0073992
1478,C0117996
1479,C0073992
1479,C0117996
1480,C0073992
1480,C0117996
1481,C0073992
1481,C0117996
1482,C0073992
1482,C0117996
1483,C0073992
1483,C0117996
1484,C0073992
1484,C0117996
1485,C0073992
1485,C0117996
1486,C0073992
1486,C0117996
1487,C0073992
1487,C0117996
1488,C0073992
1488,C0117996
1490,C0073992
1490,C0117996
1491,C0073992
1491,C0117996
1492,C0073992
1492,C0117996
1493,C0073992
1493,C0117996
1494,C0073992
1494,C0117996
1495,C0073992
1495,C0117996
1496,C0073992
1496,C0117996
1497,C0073992
1497,C0117996
1498,C0073992
1498,C0117996
1499,C0073992
1499,C0117996
1500,C0073992
1500,C0117996
1501,C0073992
1501,C0117996
1502,C0073992
1502,C0117996
151,C0305062
151,C0718003
152,C0305062
152,C0718003
1547,C0001927
1548,C0001927
1549,C0001927
1550,C0001927
1551,C3709474
1552,C3709474
1553,C2935023
1553,C3709474
1554,C2935023
1554,C3709474
1555,C2935023
1555,C3709474
1556,C2935023
1556,C3709474
1557,C2935023
1557,C3709474
16,C2347566
16027,C4519188
16029,C0028040
16047,C0033567
16058,C3253985
16059,C3253985
16071,C0216660
16072,C0289313
16073,C1948374
16073,C2935023
16073,C3709474
16074,C0064636
16075,C0064636
16119,C0903411
1612,C2607479
16128,C1506770
1613,C0117996
16139,C1120386
16153,C0257685
16158,C1831796
16159,C0541315
16160,C1831796
1617,C0070122
1623,C0070122
1632,C0070122
1633,C0070122
1634,C0070122
1637,C0070122
1638,C0070122
1639,C0070122
1641,C3709474
1642,C3709474
1643,C0216660
1644,C1176315
1657,C2607479
1658,C2607479
1659,C2607479
1660,C2607479
1661,C2607479
1662,C2607479
1663,C2607479
1664,C2607479
1665,C2607479
1666,C0002645
1666,C0055860
1667,C0002645
1667,C0055860
1668,C0002645
1668,C0055860
1669,C0002645
1669,C0055860
1670,C0002645
1670,C0055860
1671,C0002645
1671,C0055860
1672,C0002645
1672,C0055860
1673,C0002645
1673,C0055860
1674,C0002645
1674,C0055860
1675,C0002645
1675,C0055860
1676,C0002645
1676,C0055860
1677,C0002645
1677,C0055860
1678,C0002645
1678,C0055860
1679,C0002645
1679,C0055860
1680,C0002645
1680,C0055860
1681,C0054836
1682,C0054836
1683,C0054836
1684,C0054836
1685,C0054836
1686,C0054836
1687,C0054836
1688,C0054836
1689,C0054836
1689,C0065374
1692,C0754659
1693,C0754659
1707,C1948374
1708,C1948374
1709,C1948374
1710,C1948374
1711,C1948374
1712,C1948374
1713,C1948374
1713,C2935023
1715,C1948374
1716,C1948374
1717,C1948374
1718,C1948374
1719,C1948374
1720,C1948374
1721,C1948374
1722,C1948374
1723,C1948374
1724,C1948374
1725,C1948374
1726,C1948374
1727,C1948374
1728,C1948374
1729,C1948374
1730,C1948374
1731,C1948374
1732,C1948374
1733,C1948374
1734,C1948374
1735,C1948374
1736,C1948374
1737,C1948374
1737,C2935023
1738,C1948374
1738,C2935023
1739,C0117996
1739,C1948374
1740,C1099664
1741,C1099664
1742,C1099664
1743,C1099664
1744,C1099664
1799,C0064636
1800,C0064636
1801,C0064636
1802,C0064636
1803,C0064636
1804,C0064636
1805,C0064636
1806,C0064636
1807,C0064636
1808,C0064636
1809,C0064636
1810,C0064636
1811,C0064636
1812,C0064636
1813,C0064636
1814,C0064636
1815,C0064636
1816,C0064636
1817,C0064636
1818,C0064636
1819,C0064636
1820,C0064636
1821,C0064636
1822,C0064636
1823,C0064636
1824,C0064636
1825,C0064636
1826,C0064636
1827,C0064636
1828,C0064636
1829,C0064636
1830,C0064636
1831,C0064636
1832,C0064636
1881,C0244821
1882,C0244821
1883,C0244821
1884,C0244821
1885,C0244821
1886,C0244821
1887,C0244821
1888,C0244821
1889,C0244821
1890,C0244821
