PostingID|Sponsor|StudyTitle|Disorder|Phase|LinkToSponsorStudyRegistry|LinkToClinicalTrials|drug_cui|drug_names
1|GSK|U0289-401: An Evaluator Blinded, 8 Week, Split-Face Study to Evaluate and Compare the Efficacy and Tolerability of MAXCLARITY II and PROACTIV in Subjects with Acne|Acne Vulgaris|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=114550|http://clinicaltrials.gov/show/NCT01706250|[C0005088, C0036079]|[benzoyl peroxide, salicylic acid]
3|GSK|GSK1550188, A randomised, single-blind, placebo controlled, dose ascending, single dose study to evaluate the safety, tolerability, pharmacokinetics, and pharmacodynamic of GSK1550188 in Japanese subjects with Systemic Lupus Erythematosus (SLE)|Systemic Lupus Erythematosus|Phase 1|https://www.gsk-studyregister.com/en/trial-details/?id=114243|http://clinicaltrials.gov/show/NCT01381536|[C1723401]|[belimumab]
4|GSK|A Multicenter, Randomized, Double-Blind, Phase 3 Study of the Safety and Efficacy of Emulsion Formulation U0267, versus Vehicle in Subjects with Plaque-type Psoriasis|Psoriasis|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=114741|http://clinicaltrials.gov/show/NCT00688519|[C0065767]|[calcipotriene]
8|GSK|Two-week Study to Determine and Compare the Tolerance and Irritation Potential of Duac® Topical Gel (clindamycin 1% and benzoyl peroxide 5%) to ACANYA™ Gel (clindamycin phosphate 1.2% and benzoyl peroxide 2.5%) Topical Acne Medications|Acne Vulgaris|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=114546|http://clinicaltrials.gov/show/NCT01015638|[C0005088, C0055881]|[benzoyl peroxide, clindamycin phosphate]
9|GSK|A single-blind, randomized, comparative split-face study evaluating the tolerability of clindamycin and benzoyl peroxide gel to benzoyl peroxide/adapalene gel in the treatment of acne vulgaris.|Acne Vulgaris|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=114547|http://clinicaltrials.gov/show/NCT00964223|[C0005088, C0055881]|[benzoyl peroxide, clindamycin phosphate]
10|GSK|A Phase 4, Single-Blind, Randomized, Study to Compare the Tolerability and Efficacy of Tazorac Cream when used in Combination with Either Duac Gel or Acanya Gel for the Treatment of Facial Acne Vulgaris|Acne Vulgaris|Phase 4|https://www.gsk-studyregister.com/en/trial-details/?id=114566|http://clinicaltrials.gov/show/NCT01016977|[C0005088, C0055881]|[benzoyl peroxide, clindamycin phosphate]
11|GSK|A Phase 3 Multicenter, Randomized, Double-Blind, Active And Vehicle-Controlled Study Of The Safety And Efficacy Of A Clindamycin / Benzoyl Peroxide Gel Versus Clindamycin Gel Versus Benzoyl Peroxide Gel Versus Vehicle Gel In Subjects With Acne Vulgaris|Acne Vulgaris|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=114677|http://clinicaltrials.gov/show/NCT00776919|[C0005088, C0055881]|[benzoyl peroxide, clindamycin phosphate]
12|GSK|A Multicenter, Randomized, Double-Blind Study of the Safety and Efficacy of Calcipotriene Foam, 0.005%, Versus Vehicle Foam In The Treatment Of Moderate Plaque-Type Scalp And Body Psoriasis|Psoriasis|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=114743|http://clinicaltrials.gov/show/NCT01139580|[C0065767]|[calcipotriene]
13|GSK|A study to evaluate the potential incidence of orthostatic hypotension in elderly hypertensive patients following administration of a combination of carvedilol CR and lisinopril|Hypertension|Phase 1|https://www.gsk-studyregister.com/en/trial-details/?id=CFD109701|http://clinicaltrials.gov/show/NCT00508365|[C0054836]|[carvedilol]
14|GSK|COR111096, A Randomized, Double-Blind, Active-Controlled, Parallel Group, Multicenter Study Comparing the Proportion of Subjects with Stage 1 or 2 Essential Hypertension Who Achieve Target Blood Pressure While Receiving Either carvedilol CR + lisinopril or lisinopril Monotherapy|Hypertension|Phase 3|https://www.gsk-studyregister.com/en/trial-details/?id=COR111096|http://clinicaltrials.gov/show/NCT00624065|[C0054836]|[carvedilol]
